34  - 15926 24945 32944 41030 48312 55191 61524 67490 74746 81407 88050 94017 101232 107943 114572 121506 128652 136160 144362 151167 158574 165643 172481 179510 186770 194093 202076 209073 216302 223631 231080 237838 245357 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
35  - 15967 23796 32959 41046 48350 54316 61541 67517 74770 80865 88073 94056 101265 107370 114611 121548 128712 135922 144428 151236 158620 165390 172522 179552 186820 193860 202125 209118 216352 223426 231131 237901 245408 252276 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
36  - 15939 25042 33042 41932 48332 55210 61536 67507 74759 81431 88075 94671 101255 107975 114605 121534 128681 136185 144393 151498 158610 165669 172508 179541 186796 194123 202104 209373 216327 223661 231112 237866 245386 252324 259370 - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
37  - 15844 23665 32921 41022 48201 54176 61399 67370 74622 80722 87911 93899 101097 107206 114438 121386 128548 135747 144263 151069 158453 165221 172346 179380 186655 193688 201962 208942 216180 223249 230956 237726 245241 252111 259205 266252 - - - - - - - - - - - - - - - - - - - - - - - - - - - 
38  - 15931 24021 32944 41033 48319 55091 61421 67389 74645 80727 87946 93914 101125 107840 114472 121400 128547 135753 144261 151067 158469 165540 172374 179409 186667 193701 201978 208968 216198 223527 230981 237733 245253 252185 259235 266256 274500 - - - - - - - - - - - - - - - - - - - - - - - - - - 
39  - 15991 23808 33081 41163 48470 54427 61567 67540 74792 80890 88104 94098 101291 107397 114635 121599 128737 135956 144468 151262 158648 165412 172544 179576 186864 193883 202161 209140 216378 223453 231151 237924 245425 252295 259380 266425 274654 281686 - - - - - - - - - - - - - - - - - - - - - - - - - 
40  - 15936 25047 33046 42033 48444 55311 61632 68071 74771 81430 88086 94680 101271 107988 114612 121544 128692 136192 144413 151506 158614 165680 172517 179853 186816 194127 202113 209386 216339 223671 231120 237879 245395 252341 259383 266381 274623 281650 289053 - - - - - - - - - - - - - - - - - - - - - - - - 
41  - 15841 23668 32929 41017 48323 54274 61514 67475 74638 80730 87926 93913 101119 107230 114467 121412 128563 135773 144279 151085 158473 165244 172372 179405 186672 193709 201984 208965 216193 223263 230980 237745 245264 252134 259223 266273 274490 281535 288928 295838 - - - - - - - - - - - - - - - - - - - - - - - 
42  - 15921 24322 32945 41033 48315 55196 61527 67493 74742 81310 87971 93920 101131 107846 114479 121412 128561 135768 144274 151066 158492 165538 172403 179421 186676 194003 201980 208977 216205 223541 230997 237745 245266 252200 259254 266263 274515 281532 288936 295840 303067 - - - - - - - - - - - - - - - - - - - - - - 
43  - 15972 23795 32959 41042 48357 54314 61547 67513 74772 80859 87974 93962 101163 107274 114513 121463 128611 135814 144346 151122 158532 165276 172437 179454 186712 193753 202033 209013 216248 223317 231029 237796 245303 252170 259262 266313 274528 281574 288970 295875 303095 310103 - - - - - - - - - - - - - - - - - - - - - 
